Aktivitetstype,Dato,Favoritt,Tittel,Distanse,Totale kalorier,Tid,Gjennomsnittlig puls,Makspuls,Aerob treningseffekt,Gjennomsnittlig frekvens for løping,Maksimal frekvens for løping,Gjennomsnittlig tempo,Beste tempo,Total stigning,Totalt fall,Gjennomsnittlig skrittlengde,Gjennomsnittlig vertikalt forholdstall,Gjennomsnittlig vertikal oscillasjon,Gjennomsnittlig tid med bakkekontakt,Gj.sn. TMB-balanse,Training Stress Score®,Totalt antall tak,Gjennomsnittlig Swolf,Gjennomsnittlig tempo for tak,Skritt,Dekompresjon,Beste rundetid,Antall runder,Tid i bevegelse,Medgått tid,Minste høyde,Maksimal høyde
Løping,2026-06-19 16:42:04,false,"Oslo Løping","12,00","799","01:01:53","144","172","3,9","166","256","5:09","3:35","97","100","1,16","7,8","9,1","254","50,3 % V / 49,7 % H","0,0","--","--","--","9.166","Nei","00:00:10,6","19","01:00:00","01:06:52","44","99"
Løping,2026-06-17 21:07:23,false,"Copenhagen Løping","5,28","362","00:29:35","131","156","2,3","165","214","5:36","4:50","44","42","1,08","--","--","--","--","0,0","--","--","--","4.730","Nei","00:01:42,0","6","00:28:47","00:33:40","13","40"
Løping,2026-06-14 12:38:35,false,"Copenhagen Løping","16,02","1.112","01:21:41","141","176","4,4","169","232","5:06","3:45","105","101","1,14","8,6","9,9","254","50,4 % V / 49,6 % H","0,0","--","--","--","13.714","Nei","00:00:21,0","17","01:21:38","01:29:34","6","28"
Basseng,2026-06-13 11:54:47,false,"Basseng","2.000","479","00:46:56","--","--","--","--","--","1:50","1:26","--","--","--","--","--","--","--","0,0","767","37","21","--","Nei","00:00:02,4","16","00:36:48","00:47:40","--","--"
Løping,2026-06-12 18:47:16,false,"Copenhagen Løping","9,96","394","00:55:19","128","138","1,0","164","175","5:33","4:50","23","26","1,09","9,1","10,1","269","50,3 % V / 49,7 % H","0,0","--","--","--","7.128","Nei","00:05:21,5","10","00:55:12","00:57:40","7","20"
Løping,2026-06-07 13:19:41,false,"Copenhagen Løping","14,79","929","01:24:09","129","146","2,8","165","256","5:41","4:11","51","46","1,06","9,1","9,9","264","50,1 % V / 49,9 % H","0,0","--","--","--","13.690","Nei","00:04:19,3","15","01:23:29","01:25:43","--","33"
Løping,2026-06-06 16:12:48,false,"Copenhagen Løping","17,02","1.195","01:20:26","147","168","4,3","169","226","4:44","4:06","39","42","1,24","7,9","10,0","251","50,5 % V / 49,5 % H","0,0","--","--","--","13.470","Nei","00:00:09,1","18","01:20:15","01:22:52","'-4","21"
Basseng,2026-06-05 17:05:46,false,"Basseng","1.500","342","00:36:56","--","--","--","--","--","1:58","1:25","--","--","--","--","--","--","--","0,0","530","39","19","--","Nei","00:00:28,2","12","00:29:30","00:37:33","--","--"
Løping,2026-06-05 16:45:54,false,"Copenhagen Løping","2,26","165","00:12:17","131","144","2,0","164","172","5:26","4:58","1","14","1,13","--","--","--","--","0,0","--","--","--","1.986","Nei","00:01:15,7","3","00:12:16","00:13:00","4","19"
Løping,2026-06-03 18:56:14,false,"Rødovre Løping","13,38","938","01:08:41","150","175","4,3","167","256","5:08","3:15","13","11","1,26","7,1","9,0","251","49,6 % V / 50,4 % H","0,0","--","--","--","7.562","Nei","00:00:41,9","45","00:59:32","01:13:48","12","14"
Basseng,2026-06-02 17:59:21,false,"Basseng","2.025","528","00:48:47","--","--","--","--","--","1:49","1:20","--","--","--","--","--","--","--","0,0","683","36","20","--","Nei","00:00:00,6","40","00:36:48","00:50:47","--","--"
Løping,2026-05-31 14:25:18,false,"Copenhagen Løping","20,77","1.173","01:55:44","133","161","3,0","169","256","5:34","4:38","97","97","1,05","8,7","9,4","258","50,3 % V / 49,7 % H","0,0","--","--","--","19.360","Nei","00:03:44,0","21","01:55:34","02:04:47","--","28"
Basseng,2026-05-30 10:18:10,false,"Basseng","3.000","735","01:29:27","--","--","1,0","--","--","1:54","1:27","--","--","--","--","--","--","--","0,0","1172","38","21","--","Nei","00:00:17,1","26","00:56:49","01:31:34","--","--"
Løping,2026-05-28 16:58:50,false,"Copenhagen Løping","8,71","552","00:48:53","132","153","2,3","166","256","5:37","4:31","38","40","1,08","9,1","9,9","256","49,7 % V / 50,3 % H","0,0","--","--","--","7.838","Nei","00:03:31,7","9","00:47:44","00:55:44","'-0","20"
Løping,2026-05-26 19:05:17,false,"Copenhagen Løping","13,72","831","01:06:08","144","170","3,7","165","181","4:49","3:37","242","214","1,23","7,7","9,6","245","50,0 % V / 50,0 % H","0,0","--","--","--","9.400","Nei","00:00:25,2","17","01:05:49","01:08:35","'-22","28"
Løping,2026-05-24 11:43:34,false,"Copenhagen Løping","13,01","792","01:11:48","134","147","2,6","162","228","5:31","4:40","72","72","1,11","9,1","10,2","267","50,3 % V / 49,7 % H","0,0","--","--","--","11.530","Nei","00:00:01,9","14","01:11:29","01:13:40","'-0","29"
